# Min values: 183.7, 260.4, 197.3, 264.8, 241.0
# Max values: 325.8, 382.5, 285.0, 378.7, 439.8
# Starting CSV logging...
time_ms,raw0,raw1,raw2,raw3,raw4,gyroX_dps,gyroY_dps,gyroZ_dps,norm0,norm1,norm2,norm3,norm4,gestureID,Button
9953,330,379,336,390,359,12.779,-3.817,0.092,1.0000,0.9710,1.0000,1.0000,0.5936,1,1
10000,331,379,338,391,359,-3.985,-14.183,2.901,1.0000,0.9710,1.0000,1.0000,0.5936,1,1
10054,331,377,338,390,355,-3.321,-10.153,0.321,1.0000,0.9546,1.0000,1.0000,0.5734,1,1
10103,331,376,338,388,350,-11.328,-7.786,3.473,1.0000,0.9464,1.0000,1.0000,0.5483,1,1
10150,330,374,337,384,347,-2.450,-5.710,1.733,1.0000,0.9301,1.0000,1.0000,0.5332,1,1
10203,330,373,339,379,343,-0.450,-15.328,3.366,1.0000,0.9219,1.0000,1.0000,0.5130,1,1
10250,330,375,341,375,340,22.298,-15.000,-1.435,1.0000,0.9382,1.0000,0.9673,0.4979,1,1
10303,334,386,343,372,338,5.473,-11.008,13.939,1.0000,1.0000,1.0000,0.9410,0.4879,1,1
10353,339,396,347,372,335,19.656,-2.580,8.824,1.0000,1.0000,1.0000,0.9410,0.4728,1,1
10400,347,400,348,372,334,14.809,7.069,14.321,1.0000,1.0000,1.0000,0.9410,0.4678,1,1
10453,356,399,345,373,332,10.580,11.053,10.817,1.0000,1.0000,1.0000,0.9498,0.4577,1,1
10502,361,396,341,372,330,3.725,23.420,12.153,1.0000,1.0000,1.0000,0.9410,0.4476,1,1
10553,363,394,337,370,328,11.237,12.496,3.496,1.0000,1.0000,1.0000,0.9234,0.4376,1,1
10602,368,393,334,368,327,36.359,16.382,-9.496,1.0000,1.0000,1.0000,0.9059,0.4325,1,1
10649,372,392,332,368,327,9.695,7.298,0.260,1.0000,1.0000,1.0000,0.9059,0.4325,1,1
10703,376,392,330,366,326,22.122,0.260,-5.374,1.0000,1.0000,1.0000,0.8883,0.4275,1,1
10752,378,392,330,366,326,10.053,-2.725,-1.023,1.0000,1.0000,1.0000,0.8883,0.4275,1,1
10799,379,392,330,366,326,19.626,2.939,-4.450,1.0000,1.0000,1.0000,0.8883,0.4275,1,1
10852,380,392,330,366,326,11.824,4.412,-2.863,1.0000,1.0000,1.0000,0.8883,0.4275,1,1
10901,381,391,329,365,326,1.191,3.069,-0.595,1.0000,1.0000,1.0000,0.8795,0.4275,1,1
10953,381,391,329,365,326,15.740,1.198,-3.107,1.0000,1.0000,1.0000,0.8795,0.4275,1,1
11002,382,391,329,365,326,2.237,1.328,0.267,1.0000,1.0000,1.0000,0.8795,0.4275,1,1
11053,383,390,329,364,326,14.023,-0.672,-2.260,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11102,383,390,329,364,326,2.435,-0.817,-0.481,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11151,383,390,329,363,326,4.626,0.382,-0.244,1.0000,1.0000,1.0000,0.8620,0.4275,1,1
11202,383,390,329,364,326,9.550,-0.992,-1.198,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11252,383,390,329,364,326,4.038,-1.061,0.695,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11303,383,389,329,364,326,11.504,0.931,-0.382,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11352,383,390,329,363,326,0.527,1.282,1.733,1.0000,1.0000,1.0000,0.8620,0.4275,1,1
11399,383,390,329,363,326,10.595,2.237,-2.885,1.0000,1.0000,1.0000,0.8620,0.4275,1,1
11452,383,390,329,364,327,0.244,0.725,-0.282,1.0000,1.0000,1.0000,0.8708,0.4325,1,1
11501,382,390,329,364,326,7.962,-2.130,-1.275,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11553,376,388,328,363,326,-15.847,-4.405,-3.725,1.0000,1.0000,1.0000,0.8620,0.4275,1,1
11602,362,388,329,364,326,-22.626,3.992,-16.634,1.0000,1.0000,1.0000,0.8708,0.4275,1,1
11649,344,389,332,365,327,15.878,6.779,-12.504,1.0000,1.0000,1.0000,0.8795,0.4325,1,1
11702,333,386,330,370,330,0.748,6.817,2.412,1.0000,1.0000,1.0000,0.9234,0.4476,1,1
11751,329,383,328,377,337,16.252,17.160,3.687,1.0000,1.0000,1.0000,0.9849,0.4829,1,1
11803,328,380,328,379,342,15.237,8.534,7.008,1.0000,0.9792,1.0000,1.0000,0.5080,1,1
11850,185,285,185,290,214,-2.168,4.374,0.626,0.0095,0.2016,0.0000,0.2210,0.0000,1,0
